Dates,Betafolio 0,Betafolio 10,Betafolio 20,Betafolio 30,Betafolio 40,Betafolio 50,Betafolio 60,Betafolio 70,Betafolio 80,Betafolio 90,Betafolio 100,Inflation
01/09/1925,-0.001978662,-0.000307984,0.001363716,0.003034393,0.004705071,0.006376771,0.008046426,0.009718126,0.01138987,0.013059482,0.014731182,0.011066398
01/10/1925,0.008371166,0.009834263,0.011298236,0.012761334,0.014224432,0.015688405,0.017150627,0.0186146,0.020075673,0.021540796,0.023004769,-0.024875622
01/11/1925,0.001718237,0.002910991,0.00410269,0.005295444,0.006488199,0.007679898,0.008873707,0.010065406,0.011257351,0.012450915,0.013642614,0.010204082
01/12/1925,-0.004795624,-0.002562433,-0.000329678,0.001903512,0.004136703,0.006369457,0.008603084,0.010835838,0.013067152,0.01530222,0.017534974,-1.38E-16
01/01/1926,0.012881451,0.013349286,0.013818536,0.014286371,0.014754206,0.015223456,0.015689876,0.016159126,0.016630811,0.017094796,0.017564046,-0.002020202
01/02/1926,0.009330273,0.008460978,0.007591836,0.006722541,0.005853246,0.004984103,0.004114656,0.003245514,0.002380253,0.001506924,0.000637781,-0.006072874
01/03/1926,-0.008947565,-0.010812225,-0.012676115,-0.014540775,-0.016405435,-0.018269325,-0.020134755,-0.021998645,-0.023862323,-0.025727965,-0.027591855,-0.023421589
01/04/1926,0.017013074,0.015908651,0.0148054,0.013700976,0.012596553,0.011493302,0.010387706,0.009284455,0.008179665,0.007075607,0.005972357,-0.005213764
01/05/1926,0.017815879,0.016364128,0.01491129,0.013459538,0.012007787,0.010554949,0.009104283,0.007651445,0.006196954,0.004747942,0.003295104,0.00524109
01/06/1926,-0.0087879,-0.0045525,-0.000318437,0.003916963,0.008152364,0.012386427,0.016623164,0.020857227,0.025091276,0.029328027,0.033562091,0.012513034
01/07/1926,-0.000893031,0.001788135,0.004469503,0.007150669,0.009831834,0.012513203,0.015194165,0.017875534,0.020559031,0.023237865,0.025919234,0
01/08/1926,-0.00461275,0.000274461,0.005161995,0.010049207,0.014936419,0.019823952,0.024710842,0.029598376,0.034487542,0.0393728,0.044260333,0.011328527
01/09/1926,-0.001372104,0.000527005,0.002426238,0.004325348,0.006224458,0.00812369,0.010022677,0.01192191,0.013821202,0.01572013,0.017619362,0.012219959
01/10/1926,0.015282757,0.013922304,0.0125638,0.011203347,0.009842895,0.00848439,0.00712199,0.005763485,0.004407529,0.00304258,0.001684075,0.006036217
01/11/1926,0.004932917,0.006419943,0.00790771,0.009394736,0.010881763,0.012369529,0.013855816,0.015343582,0.016832277,0.018317635,0.019805402,0
01/12/1926,0.017695303,0.017939321,0.018185624,0.018429641,0.018673658,0.018919961,0.019161693,0.019407996,0.019655435,0.01989603,0.020142333,-0.02
01/01/1927,0.006754778,0.00948744,0.012216602,0.014949263,0.017681925,0.020411087,0.023147249,0.025876411,0.028609757,0.031341735,0.034070896,0.002040816
01/02/1927,-0.009630121,-0.005465164,-0.001300303,0.002864654,0.007029611,0.011194471,0.015359525,0.019524385,0.023689189,0.027854299,0.03201916,-0.00610998
01/03/1927,0.003177304,0.003613788,0.004050745,0.00448723,0.004923715,0.005360672,0.005796684,0.006233641,0.006671132,0.00710661,0.007543568,-0.034836066
01/04/1927,0.023773923,0.024518972,0.025266362,0.026011412,0.026756461,0.027503851,0.028246559,0.028993949,0.029743245,0.030484047,0.031231437,-0.006369427
01/05/1927,-0.002308009,-0.00112401,5.98E-05,0.001243832,0.002427831,0.003611675,0.004795828,0.005979672,0.007160589,0.008347669,0.009531513,-0.00534188
01/06/1927,0.000885693,-0.000368298,-0.001622172,-0.002876163,-0.004130153,-0.005384027,-0.006638135,-0.007892009,-0.009146516,-0.010399991,-0.011653865,0.018259936
01/07/1927,0.010165164,0.011766283,0.013367337,0.014968455,0.016569573,0.018170628,0.01977181,0.021372864,0.022972632,0.024575101,0.026176155,-0.006329114
